Athlete,NOC,Discipline,Event,Medal,Edition
"NICHOLAS, J.",GBR,Football,football,Gold,1900
"QUASH, William Francis",GBR,Football,football,Gold,1900
"SPACKMAN, F.G.",GBR,Football,football,Gold,1900
"TURNER, R.R.",GBR,Football,football,Gold,1900
"ZEALLEY, James Edward",GBR,Football,football,Gold,1900
"ALLEMANE, Pierre",FRA,Football,football,Silver,1900
BACH,FRA,Football,football,Silver,1900
"BLOCH, Jean",FRA,Football,football,Silver,1900
"CANELLE, Fernand",FRA,Football,football,Silver,1900
DUPARC,FRA,Football,football,Silver,1900
FRAYSSE,FRA,Football,football,Silver,1900
GAILLARD,FRA,Football,football,Silver,1900
"GARNIER, René",FRA,Football,football,Silver,1900
GRANDJEAN,FRA,Football,football,Silver,1900
HUTEAU,FRA,Football,football,Silver,1900
LAMBERT,FRA,Football,football,Silver,1900
MACAIRE,FRA,Football,football,Silver,1900
PELTIER,FRA,Football,football,Silver,1900
"ROBERTSON, David Donaldson",GBR,Golf,individual,Bronze,1900
"SANDS, Charles Edward",USA,Golf,individual,Gold,1900
"RUTHERFORD, Walter",GBR,Golf,individual,Silver,1900
"PRATT, Daria",USA,Golf,individual,Bronze,1900
"ABBOTT, Margaret Ives",USA,Golf,individual,Gold,1900
"WHITTIER, Pauline",USA,Golf,individual,Silver,1900
"DEMANET, Lucien",FRA,Artistic G.,individual all-round,Bronze,1900
"SANDRAS, Gustave",FRA,Artistic G.,individual all-round,Gold,1900
"BAS, Noël",FRA,Artistic G.,individual all-round,Silver,1900
"BOUSSOD, Jean",ZZX,Polo,polo,Bronze,1900
"DUC DE BISACCIA, Louis",ZZX,Polo,polo,Bronze,1900
"FAUQUET LEMAITRE, A.",ZZX,Polo,polo,Bronze,1900
"RAOUL-DUVAL, Maurice",ZZX,Polo,polo,Bronze,1900
"DALY, Dennis",ZZX,Polo,polo,Gold,1900
"KEENE, Foxhall Parker",ZZX,Polo,polo,Gold,1900
"MACKEY, Frank Jay",ZZX,Polo,polo,Gold,1900
"RAWLINSON, Alfred",ZZX,Polo,polo,Gold,1900
"BUCKMASTER, Walter Selby",ZZX,Polo,polo,Silver,1900
"COMTE DE MADRE, José Pierre M.J.",ZZX,Polo,polo,Silver,1900
"FREAKE, Frederick Maitland",ZZX,Polo,polo,Silver,1900
"MCCREERY, Walter Adolph",ZZX,Polo,polo,Silver,1900
"BRANDT, Francois Antoine",NED,Rowing,eight with coxswain (8+),Bronze,1900
"BROCKMANN, Hermanus Gerardus",NED,Rowing,eight with coxswain (8+),Bronze,1900
"KLEIN, Roelof",NED,Rowing,eight with coxswain (8+),Bronze,1900
"LEEGSTRA, Ruud Gerbens",NED,Rowing,eight with coxswain (8+),Bronze,1900
"MIDDELBERG, Walter",NED,Rowing,eight with coxswain (8+),Bronze,1900
"OFFERHAUS, Hendrik Karel",NED,Rowing,eight with coxswain (8+),Bronze,1900
"THIJSSEN, Walter",NED,Rowing,eight with coxswain (8+),Bronze,1900
"TROMP, Henricus",NED,Rowing,eight with coxswain (8+),Bronze,1900
"VAN DIJK, Johannes Wilhelmus Maria",NED,Rowing,eight with coxswain (8+),Bronze,1900
"ABELL, Louis",USA,Rowing,eight with coxswain (8+),Gold,1900
"CARR, William",USA,Rowing,eight with coxswain (8+),Gold,1900
"DEBAECKE, Harry",USA,Rowing,eight with coxswain (8+),Gold,1900
"EXLEY, John",USA,Rowing,eight with coxswain (8+),Gold,1900
"GEIGER, John",USA,Rowing,eight with coxswain (8+),Gold,1900
"HEDLEY, Edward",USA,Rowing,eight with coxswain (8+),Gold,1900
"JUVENAL, James",USA,Rowing,eight with coxswain (8+),Gold,1900
"LOCKWOOD, Roscoe",USA,Rowing,eight with coxswain (8+),Gold,1900
"MARSH, Edward",USA,Rowing,eight with coxswain (8+),Gold,1900
"BRUGGEMAN, Prospère",BEL,Rowing,eight with coxswain (8+),Silver,1900
"DE BISSCHOP, Jules",BEL,Rowing,eight with coxswain (8+),Silver,1900
"DE COCK, Oscar",BEL,Rowing,eight with coxswain (8+),Silver,1900
"DE SOMVILLE, Oscar Charles",BEL,Rowing,eight with coxswain (8+),Silver,1900
"HEMELSOET, Maurice",BEL,Rowing,eight with coxswain (8+),Silver,1900
"ODBERG, Frank",BEL,Rowing,eight with coxswain (8+),Silver,1900
"VAN CROMBRUGGHE, Marcel Lucien",BEL,Rowing,eight with coxswain (8+),Silver,1900
"VAN LANDEGHEM, Alfred",BEL,Rowing,eight with coxswain (8+),Silver,1900
"VERDONCK, Maurice",BEL,Rowing,eight with coxswain (8+),Silver,1900
"CARSTENS, Wilhelm",GER,Rowing,four-oared shell with coxswain (4-),Bronze,1900
"FELLE, Ernst",GER,Rowing,four-oared shell with coxswain (4-),Bronze,1900
"FICKEISEN, Otto",GER,Rowing,four-oared shell with coxswain (4-),Bronze,1900
"KÖRNER, Julius",GER,Rowing,four-oared shell with coxswain (4-),Bronze,1900
"KRÖWERATH, Franz",GER,Rowing,four-oared shell with coxswain (4-),Bronze,1900
"LEHLE, Carl",GER,Rowing,four-oared shell with coxswain (4-),Bronze,1900
"MÖLLER, Adolf",GER,Rowing,four-oared shell with coxswain (4-),Bronze,1900
"MOTHS, Gustav Adolf",GER,Rowing,four-oared shell with coxswain (4-),Bronze,1900
"RÜSTER, Hugo",GER,Rowing,four-oared shell with coxswain (4-),Bronze,1900
"WILKER, Hermann",GER,Rowing,four-oared shell with coxswain (4-),Bronze,1900
"BOUCKAERT, Henri",FRA,Rowing,four-oared shell with coxswain (4-),Gold,1900
"CAU, Jean",FRA,Rowing,four-oared shell with coxswain (4-),Gold,1900
CHARLOT,FRA,Rowing,four-oared shell with coxswain (4-),Gold,1900
"DELCHAMBRE, Emile",FRA,Rowing,four-oared shell with coxswain (4-),Gold,1900
"GOSSLER, Carl Heinrich",GER,Rowing,four-oared shell with coxswain (4-),Gold,1900
"GOSSLER, Gustav Ludwig",GER,Rowing,four-oared shell with coxswain (4-),Gold,1900
"GOSSLER, Oscar",GER,Rowing,four-oared shell with coxswain (4-),Gold,1900
"HAZEBROUCK, Henri",FRA,Rowing,four-oared shell with coxswain (4-),Gold,1900
"KATZENSTEIN, Walther",GER,Rowing,four-oared shell with coxswain (4-),Gold,1900
"TIETGENS, Waldemar",GER,Rowing,four-oared shell with coxswain (4-),Gold,1900
"BROCKMANN, Hermanus Gerardus",NED,Rowing,four-oared shell with coxswain (4-),Silver,1900
"HIEBENDAAI, Coenraad Christiaan",NED,Rowing,four-oared shell with coxswain (4-),Silver,1900
"LOTSY, Gerhard Oswald",NED,Rowing,four-oared shell with coxswain (4-),Silver,1900
"LOTSY, Paulus Jan",NED,Rowing,four-oared shell with coxswain (4-),Silver,1900
"LUMPP, Georges",FRA,Rowing,four-oared shell with coxswain (4-),Silver,1900
"PERRIN, Charles",FRA,Rowing,four-oared shell with coxswain (4-),Silver,1900
"SOUBEYRAN, Daniel",FRA,Rowing,four-oared shell with coxswain (4-),Silver,1900
"TERWOGT, Johannes Hester Lambertus",NED,Rowing,four-oared shell with coxswain (4-),Silver,1900
"WEGELIN, Emile",FRA,Rowing,four-oared shell with coxswain (4-),Silver,1900
"DELTOUR, Carlos",FRA,Rowing,pair-oared shell with coxswain (2+),Bronze,1900
"PAOLI, Raoul",FRA,Rowing,pair-oared shell with coxswain (2+),Bronze,1900
"VEDRENNE, Antoine Erneste",FRA,Rowing,pair-oared shell with coxswain (2+),Bronze,1900
"BRANDT, Francois Antoine",ZZX,Rowing,pair-oared shell with coxswain (2+),Gold,1900
"BROCKMANN, Hermanus Gerardus",ZZX,Rowing,pair-oared shell with coxswain (2+),Gold,1900
"KLEIN, Roelof",ZZX,Rowing,pair-oared shell with coxswain (2+),Gold,1900
"MARTINET, Louis",FRA,Rowing,pair-oared shell with coxswain (2+),Silver,1900
UNKNOWN COX / BARREUR INCONNU,FRA,Rowing,pair-oared shell with coxswain (2+),Silver,1900
WALEFF,FRA,Rowing,pair-oared shell with coxswain (2+),Silver,1900
"ASHE, Saint-George",GBR,Rowing,single sculls (1x),Bronze,1900
"BARRELET, Henri",FRA,Rowing,single sculls (1x),Gold,1900
"GAUDIN, André",FRA,Rowing,single sculls (1x),Silver,1900
"AITOFF, Vladimir",FRA,Rugby,rugby,Gold,1900
"ALBERT, A.",FRA,Rugby,rugby,Gold,1900
"BINOCHE, Jean, LÃ©on",FRA,Rugby,rugby,Gold,1900
"COLLAS, Jean",FRA,Rugby,rugby,Gold,1900
"GAUTIER, Jean Guy",FRA,Rugby,rugby,Gold,1900
"GIROUX, Auguste",FRA,Rugby,rugby,Gold,1900
"GONDOUIN, Charles",FRA,Rugby,rugby,Gold,1900
"HENRIQUEZ DE ZUBIERRA, Constantin",FRA,Rugby,rugby,Gold,1900
"HERVE, Jean",FRA,Rugby,rugby,Gold,1900
"LARDANCHET, Victor",FRA,Rugby,rugby,Gold,1900
"LEFEBVRE, Hubert",FRA,Rugby,rugby,Gold,1900
"OLIVIER, Joseph",FRA,Rugby,rugby,Gold,1900
"PHARAMOND, Alexandre",FRA,Rugby,rugby,Gold,1900
"REICHEL, Frantz",FRA,Rugby,rugby,Gold,1900
"RISCHMANN, André",FRA,Rugby,rugby,Gold,1900
"ROOSEVELT, Albert",FRA,Rugby,rugby,Gold,1900
"SARRADE, Emile",FRA,Rugby,rugby,Gold,1900
"AMRHEIN, Albert",GER,Rugby,rugby,Silver,1900
"BAYLISS, F.C.",GBR,Rugby,rugby,Silver,1900
"BETTING, Hugo",GER,Rugby,rugby,Silver,1900
"BIRTLES, J.Henry",GBR,Rugby,rugby,Silver,1900
"CAUTLON, J.",GBR,Rugby,rugby,Silver,1900
"DARBY, Artur John",GBR,Rugby,rugby,Silver,1900
"DEYKIN, C.P.",GBR,Rugby,rugby,Silver,1900
"HERRMANN, Jacob",GER,Rugby,rugby,Silver,1900
"HOFMEISTER, Willy",GER,Rugby,rugby,Silver,1900
"HOOD, L.",GBR,Rugby,rugby,Silver,1900
"KREUZER, Hermann",GER,Rugby,rugby,Silver,1900
"LANDVOIGT, Arnold",GER,Rugby,rugby,Silver,1900
"LATSCHA, Hans",GER,Rugby,rugby,Silver,1900
"LOGAN, M.L.",GBR,Rugby,rugby,Silver,1900
"LOVEITT, H.A.",GBR,Rugby,rugby,Silver,1900
"LUDWIG, Erich",GER,Rugby,rugby,Silver,1900
"LUDWIG, Richard",GER,Rugby,rugby,Silver,1900
"MÜLLER, Fritz",GER,Rugby,rugby,Silver,1900
"NICOL, N.S.",GBR,Rugby,rugby,Silver,1900
"POPPE, Eduard",GER,Rugby,rugby,Silver,1900
"REITZ, Heinrich",GER,Rugby,rugby,Silver,1900
"SCHMIERER, August",GER,Rugby,rugby,Silver,1900
"SMITH, V.",GBR,Rugby,rugby,Silver,1900
"STOCKHAUSEN, Adolf",GER,Rugby,rugby,Silver,1900
"TALBOT, M.W.",GBR,Rugby,rugby,Silver,1900
"WALLIS, J.G.",GBR,Rugby,rugby,Silver,1900
"WENDEROTH, Georg",GER,Rugby,rugby,Silver,1900
"WHITTINDALE, Claud",GBR,Rugby,rugby,Silver,1900
"WHITTINDALE, Raymond",GBR,Rugby,rugby,Silver,1900
"WILSON, Francis Henry",GBR,Rugby,rugby,Silver,1900
"MICHELET, E.",FRA,Sailing,0.5-1t,Bronze,1900
"MICHELET, F.",FRA,Sailing,0.5-1t,Bronze,1900
"GRETTON, John H.",GBR,Sailing,0.5-1t,Gold,1900
"HOPE, Linton",GBR,Sailing,0.5-1t,Gold,1900
"LORD CURRIE, Lorne Campbell",GBR,Sailing,0.5-1t,Gold,1900
"BAUDRIER, Jacques",FRA,Sailing,0.5-1t,Silver,1900
"LEBRET, Jean",FRA,Sailing,0.5-1t,Silver,1900
MARCOTTE,FRA,Sailing,0.5-1t,Silver,1900
"MARTIN, William",FRA,Sailing,0.5-1t,Silver,1900
VALTON,FRA,Sailing,0.5-1t,Silver,1900
"HORE, Edward",GBR,Sailing,10-20t,Bronze,1900
"BILLARD, Emile",FRA,Sailing,10-20t,Gold,1900
"PERQUER, P.",FRA,Sailing,10-20t,Gold,1900
"LE DUC DECAZES, Jean",FRA,Sailing,10-20t,Silver,1900
"MACHENRY, M.",USA,Sailing,3-10t,Bronze,1900
"TAYLOR, Howard",GBR,Sailing,3-10t,Gold,1900
"GUFFLET, Maurice",FRA,Sailing,3-10t,Silver,1900
"MICHELET, E.",FRA,Sailing,open class,Bronze,1900
"MICHELET, F.",FRA,Sailing,open class,Bronze,1900
"GRETTON, John H.",GBR,Sailing,open class,Gold,1900
"HOPE, Linton",GBR,Sailing,open class,Gold,1900
"LORD CURRIE, Lorne Campbell",GBR,Sailing,open class,Gold,1900
"NAUE, Georg",GER,Sailing,open class,Silver,1900
"PETERS, Heinrich",GER,Sailing,open class,Silver,1900
"WEISE, Ottokar",GER,Sailing,open class,Silver,1900
"WIESNER, Martin",GER,Sailing,open class,Silver,1900
"BALME, Eugène",FRA,Shooting,25m rapid fire pistol (60 shots),Bronze,1900
"LARROUY, Maurice",FRA,Shooting,25m rapid fire pistol (60 shots),Gold,1900
"MOREAUX, Léon",FRA,Shooting,25m rapid fire pistol (60 shots),Silver,1900
"BOUWENS, Antonius",NED,Shooting,"50m army pistol, team",Bronze,1900
"SILLEM, Henrik",NED,Shooting,"50m army pistol, team",Bronze,1900
"SWEYS, Anthony Ahasuerus",NED,Shooting,"50m army pistol, team",Bronze,1900
"VAN DEN BERGH, Solko Johannes",NED,Shooting,"50m army pistol, team",Bronze,1900
"VAN HAAN, Gerardus",NED,Shooting,"50m army pistol, team",Bronze,1900
"LÜTHI, Friedrich",SUI,Shooting,"50m army pistol, team",Gold,1900
"PROBST, Paul",SUI,Shooting,"50m army pistol, team",Gold,1900
"RICHARDET, Louis-Marc",SUI,Shooting,"50m army pistol, team",Gold,1900
"RÖDERER, Karl Konrad",SUI,Shooting,"50m army pistol, team",Gold,1900
"STÄHELI, Konrad",SUI,Shooting,"50m army pistol, team",Gold,1900
"DUFFOY, Louis",FRA,Shooting,"50m army pistol, team",Silver,1900
"LECOQ, Maurice",FRA,Shooting,"50m army pistol, team",Silver,1900
"MOREAUX, Léon",FRA,Shooting,"50m army pistol, team",Silver,1900
"PAROCHE, Achille",FRA,Shooting,"50m army pistol, team",Silver,1900
TRINITE,FRA,Shooting,"50m army pistol, team",Silver,1900
"STÄHELI, Konrad",SUI,Shooting,50m pistol (60 shots),Bronze,1900
"RÖDERER, Karl Konrad",SUI,Shooting,50m pistol (60 shots),Gold,1900
"PAROCHE, Achille",FRA,Shooting,50m pistol (60 shots),Silver,1900
"ÖSTMO, Ole",NOR,Shooting,"army rifle, 300m, 3 positions",Bronze,1900
"VAN ASBROECK, Paul",BEL,Shooting,"army rifle, 300m, 3 positions",Bronze,1900
"KELLENBERGER, Emil",SUI,Shooting,"army rifle, 300m, 3 positions",Gold,1900
"NIELSEN, Anders Peter",DEN,Shooting,"army rifle, 300m, 3 positions",Silver,1900
"STÄHELI, Konrad",SUI,Shooting,"army rifle, 300m, kneeling",Gold,1900
"KELLENBERGER, Emil",SUI,Shooting,"army rifle, 300m, kneeling",Silver,1900
"NIELSEN, Anders Peter",DEN,Shooting,"army rifle, 300m, kneeling",Silver,1900
"ÖSTMO, Ole",NOR,Shooting,"army rifle, 300m, prone",Bronze,1900
"PAROCHE, Achille",FRA,Shooting,"army rifle, 300m, prone",Gold,1900
"NIELSEN, Anders Peter",DEN,Shooting,"army rifle, 300m, prone",Silver,1900
"PAUMIER DU VERGIER, Charles",BEL,Shooting,"army rifle, 300m, standing",Bronze,1900
"MADSEN, Lars Jörgen",DEN,Shooting,"army rifle, 300m, standing",Gold,1900
"ÖSTMO, Ole",NOR,Shooting,"army rifle, 300m, standing",Silver,1900
"CAVADINI, Auguste",FRA,Shooting,"free rifle, team",Bronze,1900
"LECOQ, Maurice",FRA,Shooting,"free rifle, team",Bronze,1900
"MOREAUX, Léon",FRA,Shooting,"free rifle, team",Bronze,1900
"PAROCHE, Achille",FRA,Shooting,"free rifle, team",Bronze,1900
"THOMAS, René",FRA,Shooting,"free rifle, team",Bronze,1900
"BÖCKLI, Franz",SUI,Shooting,"free rifle, team",Gold,1900
"GRÜTER, Alfred",SUI,Shooting,"free rifle, team",Gold,1900
"KELLENBERGER, Emil",SUI,Shooting,"free rifle, team",Gold,1900
"RICHARDET, Louis-Marc",SUI,Shooting,"free rifle, team",Gold,1900
"STÄHELI, Konrad",SUI,Shooting,"free rifle, team",Gold,1900
"FRYDENLUND, Olaf Emil",NOR,Shooting,"free rifle, team",Silver,1900
"HERMANDSEN, Hellmer",NOR,Shooting,"free rifle, team",Silver,1900
"ÖSTMO, Ole",NOR,Shooting,"free rifle, team",Silver,1900
"SAETHER, Ole Andreas",NOR,Shooting,"free rifle, team",Silver,1900
"SEEBERG, Tom",NOR,Shooting,"free rifle, team",Silver,1900
"DE CLARY, Justinien",FRA,Shooting,trap (125 targets),Bronze,1900
"DE BARBARIN, Roger",FRA,Shooting,trap (125 targets),Gold,1900
"GUYOT, René",FRA,Shooting,trap (125 targets),Silver,1900
"DE LA CHAPELLE, Georges",FRA,Tennis,doubles,Bronze,1900
"MAHONY, Harold Sergerson",GBR,Tennis,doubles,Bronze,1900
"NORRIS, Arthur B.J.",GBR,Tennis,doubles,Bronze,1900
"PREVOST, André",FRA,Tennis,doubles,Bronze,1900
"DOHERTY, Hugh Lawrence",GBR,Tennis,doubles,Gold,1900
"DOHERTY, Reginald Frank",GBR,Tennis,doubles,Gold,1900
"DE GARMENDIA, Basil Spalding",ZZX,Tennis,doubles,Silver,1900
"DECUGIS, Max",ZZX,Tennis,doubles,Silver,1900
"DOHERTY, Hugh Lawrence",ZZX,Tennis,mixed doubles,Bronze,1900
"WARDEN, Archibald A.",ZZX,Tennis,mixed doubles,Bronze,1900
"DOHERTY, Reginald Frank",GBR,Tennis,mixed doubles,Gold,1900
"MAHONY, Harold Sergerson",ZZX,Tennis,mixed doubles,Silver,1900
"JONES, Marion",ZZX,Tennis,mixed doubles,Bronze,1900
"ROSENBAUM, Hedwig",ZZX,Tennis,mixed doubles,Bronze,1900
"COOPER, Charlotte",GBR,Tennis,mixed doubles,Gold,1900
"PREVOST, Hélène",ZZX,Tennis,mixed doubles,Silver,1900
"DOHERTY, Reginald Frank",GBR,Tennis,singles,Bronze,1900
"NORRIS, Arthur B.J.",GBR,Tennis,singles,Bronze,1900
"DOHERTY, Hugh Lawrence",GBR,Tennis,singles,Gold,1900
"MAHONY, Harold Sergerson",GBR,Tennis,singles,Silver,1900
"JONES, Marion",USA,Tennis,singles,Bronze,1900
"ROSENBAUM, Hedwig",BOH,Tennis,singles,Bronze,1900
"COOPER, Charlotte",GBR,Tennis,singles,Gold,1900
"PREVOST, Hélène",FRA,Tennis,singles,Silver,1900
"AABYE, Edgar",ZZX,Tug of War,tug of war,Gold,1900
"NILSSON, August",ZZX,Tug of War,tug of war,Gold,1900
"SCHMIDT, Eugen",ZZX,Tug of War,tug of war,Gold,1900
"SÖDERSTRÖM, Gustaf",ZZX,Tug of War,tug of war,Gold,1900
"STAAF, Karl Gustav",ZZX,Tug of War,tug of war,Gold,1900
"WINCKLER, Charles",ZZX,Tug of War,tug of war,Gold,1900
"BASSET, Pierre",FRA,Tug of War,tug of war,Silver,1900
"COLLAS, Jean",FRA,Tug of War,tug of war,Silver,1900
"GONDOUIN, Charles",FRA,Tug of War,tug of war,Silver,1900
"HENRIQUEZ DE ZUBIERRA, Constantin",FRA,Tug of War,tug of war,Silver,1900
"ROFFO, Joseph",FRA,Tug of War,tug of war,Silver,1900
"SARRADE, Emile",FRA,Tug of War,tug of war,Silver,1900
"BRAUNSCHWEIGER, Alfred",GER,Diving,10m platform,Bronze,1904
"KEHOE, Frank",USA,Diving,10m platform,Bronze,1904
"SHELDON, George",USA,Diving,10m platform,Gold,1904
"HOFFMANN, Georg",GER,Diving,10m platform,Silver,1904
"GOODWIN, Leo Budd",USA,Diving,plunge for distance,Bronze,1904
"DICKEY, William Paul",USA,Diving,plunge for distance,Gold,1904
"ADAMS, Edgar H.",USA,Diving,plunge for distance,Silver,1904
"ZACHARIAS, Georg",GER,Swimming,100m backstroke,Bronze,1904
"BRACK, Walter",GER,Swimming,100m backstroke,Gold,1904
"HOFFMANN, Georg",GER,Swimming,100m backstroke,Silver,1904
"LEARY, J. Scott",USA,Swimming,100m freestyle,Bronze,1904
"HALMAY, Zoltan",HUN,Swimming,100m freestyle,Gold,1904
"DANIELS, Charles",USA,Swimming,100m freestyle,Silver,1904
"GAILEY, Francis",USA,Swimming,1500m freestyle,Bronze,1904
"RAUSCH, Emil",GER,Swimming,1500m freestyle,Gold,1904
"KISS, Geza",HUN,Swimming,1500m freestyle,Silver,1904
"RAUSCH, Emil",GER,Swimming,200m freestyle,Bronze,1904
"DANIELS, Charles",USA,Swimming,200m freestyle,Gold,1904
"GAILEY, Francis",USA,Swimming,200m freestyle,Silver,1904
"HANDY, Hehry Jamison",USA,Swimming,400m breaststroke,Bronze,1904
"ZACHARIAS, Georg",GER,Swimming,400m breaststroke,Gold,1904
"BRACK, Walter",GER,Swimming,400m breaststroke,Silver,1904
"WAHLE, Otto",AUT,Swimming,400m freestyle,Bronze,1904
"DANIELS, Charles",USA,Swimming,400m freestyle,Gold,1904
"GAILEY, Francis",USA,Swimming,400m freestyle,Silver,1904
"EVANS, Gwynne",USA,Swimming,4x50y freestyle relay,Bronze,1904
"ORTHWEIN, William Robert",USA,Swimming,4x50y freestyle relay,Bronze,1904
"REYBURN, Amadee",USA,Swimming,4x50y freestyle relay,Bronze,1904
"SCHWARTZ, Marquard",USA,Swimming,4x50y freestyle relay,Bronze,1904
"DANIELS, Charles",USA,Swimming,4x50y freestyle relay,Gold,1904
"GOODWIN, Leo Budd",USA,Swimming,4x50y freestyle relay,Gold,1904
"HANDLEY, Louis De Breda",USA,Swimming,4x50y freestyle relay,Gold,1904
"RUDDY, Joseph A.",USA,Swimming,4x50y freestyle relay,Gold,1904
"GOETZ, Hugo",USA,Swimming,4x50y freestyle relay,Silver,1904
"HAMMOND, David",USA,Swimming,4x50y freestyle relay,Silver,1904
"THORNE, Raymond",USA,Swimming,4x50y freestyle relay,Silver,1904
"TUTTLE, William",USA,Swimming,4x50y freestyle relay,Silver,1904
"DANIELS, Charles",USA,Swimming,50y freestyle (45.72m),Bronze,1904
"HALMAY, Zoltan",HUN,Swimming,50y freestyle (45.72m),Gold,1904
"LEARY, J. Scott",USA,Swimming,50y freestyle (45.72m),Silver,1904
"KISS, Geza",HUN,Swimming,880y freestyle (804.66m),Bronze,1904
"RAUSCH, Emil",GER,Swimming,880y freestyle (804.66m),Gold,1904
"GAILEY, Francis",USA,Swimming,880y freestyle (804.66m),Silver,1904
"THOMPSON, William Henry",USA,Archery,double american round (60y - 50y - 40y),Bronze,1904
"BRYANT, George Philipp",USA,Archery,double american round (60y - 50y - 40y),Gold,1904
"WILLIAMS, Robert",USA,Archery,double american round (60y - 50y - 40y),Silver,1904
"POLLOCK, Jessie",USA,Archery,double columbia round (50y - 40y - 30y),Bronze,1904
"HOWELL, Matilda Scott",USA,Archery,double columbia round (50y - 40y - 30y),Gold,1904
"COOKE, Emma C.",USA,Archery,double columbia round (50y - 40y - 30y),Silver,1904
"POLLOCK, Jessie",USA,Archery,double national round (60y - 50y),Bronze,1904
"HOWELL, Matilda Scott",USA,Archery,double national round (60y - 50y),Gold,1904
"COOKE, Emma C.",USA,Archery,double national round (60y - 50y),Silver,1904
"THOMPSON, William Henry",USA,Archery,double york round (100y - 80y - 60y),Bronze,1904
"BRYANT, George Philipp",USA,Archery,double york round (100y - 80y - 60y),Gold,1904
"WILLIAMS, Robert",USA,Archery,double york round (100y - 80y - 60y),Silver,1904
"BRYANT, George Philipp",USA,Archery,team round 60y,Bronze,1904
"BRYANT, Wallace",USA,Archery,team round 60y,Bronze,1904
"DALLIN, Cyrus Edwin",USA,Archery,team round 60y,Bronze,1904
"RICHARDSON, Henry Barber",USA,Archery,team round 60y,Bronze,1904
"MAXSON, Louis W.",USA,Archery,team round 60y,Gold,1904
"SPENCER, Galen Carter",USA,Archery,team round 60y,Gold,1904
"THOMPSON, William Henry",USA,Archery,team round 60y,Gold,1904
"WILLIAMS, Robert",USA,Archery,team round 60y,Gold,1904
"CLARK, William A.",USA,Archery,team round 60y,Silver,1904
"DUVALL, Samuel Harding",USA,Archery,team round 60y,Silver,1904
"HUBBARD, Charles R.",USA,Archery,team round 60y,Silver,1904
"WOODRUFF, Charles S.",USA,Archery,team round 60y,Silver,1904
"HOWELL, Matilda Scott",USA,Archery,teams FITA round,Gold,1904
"POLLOCK, Jessie",USA,Archery,teams FITA round,Gold,1904
"TAYLOR, Louise",USA,Archery,teams FITA round,Gold,1904
"WOODRUFF, Laura",USA,Archery,teams FITA round,Gold,1904
"COOKE, Emma C.",USA,Archery,teams FITA round,Silver,1904
"TAYLOR, Mabel",USA,Archery,teams FITA round,Silver,1904
"HOGENSON, William",USA,Athletics,100m,Bronze,1904
"HAHN, Archie",USA,Athletics,100m,Gold,1904
"CARTMELL, John Nathaniel",USA,Athletics,100m,Silver,1904
"ASHBURNER, Lesley",USA,Athletics,110m hurdles,Bronze,1904
"SCHULE, Frederick",USA,Athletics,110m hurdles,Gold,1904
"SHIDELER, Thaddeus",USA,Athletics,110m hurdles,Silver,1904
"HEARN, Lacey",USA,Athletics,1500m,Bronze,1904
"LIGHTBODY, James",USA,Athletics,1500m,Gold,1904
"VERNER, William Frank",USA,Athletics,1500m,Silver,1904
"HOGENSON, William",USA,Athletics,200m,Bronze,1904
"HAHN, Archie",USA,Athletics,200m,Gold,1904
"CARTMELL, John Nathaniel",USA,Athletics,200m,Silver,1904
